ID,URI,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,MODELO
7180152,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180152,APARCABICICLETAS,63,CASTILLEJOS,6,TETUAN,OPERATIVO,441321.64,4479289.17,ETRS89,40.46220213,-3.69211094,CALLE,ROSARIO PINO,10,28020,28020,31010156,2020-10-06T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180157,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180157,APARCABICICLETAS,63,CASTILLEJOS,6,TETUAN,OPERATIVO,441459.4,4479027.45,ETRS89,40.45985416,-3.69046204,PASEO,CASTELLANA,141,28046,28046,11030660,2020-10-08T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180160,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180160,APARCABICICLETAS,63,CASTILLEJOS,6,TETUAN,OPERATIVO,441459.85,4479029.78,ETRS89,40.45987518,-3.69045695,PASEO,CASTELLANA,141,28046,28046,11030660,2020-10-08T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180161,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180161,APARCABICICLETAS,75,RIOS ROSAS,7,CHAMBERI,OPERATIVO,440669.86,4476665.77,ETRS89,40.43852313,-3.69955304,CALLE,JOSE ABASCAL,23,28003,28003,11041883,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180164,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180164,APARCABICICLETAS,75,RIOS ROSAS,7,CHAMBERI,OPERATIVO,440674.27,4476665.41,ETRS89,40.43852021,-3.69950101,CALLE,JOSE ABASCAL,23,28003,28003,11041883,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180212,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180212,APARCABICICLETAS,163,CANILLAS,16,HORTALEZA,OPERATIVO,444949.47,4479335.09,ETRS89,40.46286408,-3.64932739,CARRETERA,CANILLAS,46,28043,DESCONOCIDO,11116433,2020-10-09T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180217,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180217,APARCABICICLETAS,215,CORRALEJOS,21,BARAJAS,OPERATIVO,447628.66,4479208.12,ETRS89,40.46189346,-3.61771734,CALLE,RIBERA DEL SENA,21,28042,DESCONOCIDO,20058524,2020-10-09T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180238,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180238,APARCABICICLETAS,208,EL SALVADOR,20,SAN BLAS - CANILLEJAS,OPERATIVO,447639.74,4477176.91,ETRS89,40.44359585,-3.61741915,CALLE,ALCALA,553,28022,DESCONOCIDO,20052900,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180240,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180240,APARCABICICLETAS,208,EL SALVADOR,20,SAN BLAS - CANILLEJAS,OPERATIVO,447638.02,4477176.11,ETRS89,40.44358854,-3.61743937,CALLE,ALCALA,553,28022,DESCONOCIDO,20052900,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180273,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180273,APARCABICICLETAS,155,SAN PASCUAL,15,CIUDAD LINEAL,OPERATIVO,444453.22,4477341.31,ETRS89,40.44487007,-3.65500592,CALLE,TORRELAGUNA,56,28027,DESCONOCIDO,20151925,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180275,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180275,APARCABICICLETAS,155,SAN PASCUAL,15,CIUDAD LINEAL,OPERATIVO,444452.43,4477342.9,ETRS89,40.44488434,-3.65501537,CALLE,TORRELAGUNA,56,28027,DESCONOCIDO,20151925,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180277,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180277,APARCABICICLETAS,155,SAN PASCUAL,15,CIUDAD LINEAL,OPERATIVO,444451.9,4477344.09,ETRS89,40.44489503,-3.65502172,CALLE,TORRELAGUNA,56,28027,DESCONOCIDO,20151925,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180317,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180317,APARCABICICLETAS,94,VALDEZARZA,9,MONCLOA - ARAVACA,OPERATIVO,439152.91,4480188.78,ETRS89,40.47015016,-3.7177755,CALLE,VALDERRODRIGO,55,28039,DESCONOCIDO,11054575,2020-10-08T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180319,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180319,APARCABICICLETAS,94,VALDEZARZA,9,MONCLOA - ARAVACA,OPERATIVO,439153.64,4480189.69,ETRS89,40.47015841,-3.71776698,CALLE,VALDERRODRIGO,55,28039,DESCONOCIDO,11054575,2020-10-08T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180326,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180326,APARCABICICLETAS,105,CAMPAMENTO,10,LATINA,OPERATIVO,433835.26,4471780.93,ETRS89,40.39400325,-3.779624,CALLE,ADANERO,3,28024,DESCONOCIDO,20136248,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180363,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180363,APARCABICICLETAS,102,PUERTA DEL ANGEL,10,LATINA,OPERATIVO,437297.9,4473509.16,ETRS89,40.40983975,-3.738997,PASEO,EXTREMADURA,158,28011,DESCONOCIDO,11062515,2020-10-09T00:00:00Z,DESCONOCIDO,MU21,MU-51
7180364,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7180364,APARCABICICLETAS,102,PUERTA DEL ANGEL,10,LATINA,OPERATIVO,437296.13,4473508.37,ETRS89,40.4098325,-3.73901778,PASEO,EXTREMADURA,158,28011,DESCONOCIDO,11062515,2020-10-09T00:00:00Z,DESCONOCIDO,MU21,MU-51
7181773,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7181773,APARCABICICLETAS,21,IMPERIAL,2,ARGANZUELA,OPERATIVO,438952.61,4473755.97,ETRS89,40.41218612,-3.71952001,CALLE,JUAN DUQUE,22,28005,28005,20007154,1900-01-01T00:00:00Z,DESCONOCIDO,MU21,MU-51
7181794,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7181794,APARCABICICLETAS,145,FONTARRON,14,MORATALAZ,OPERATIVO,444617.12,4472974.37,ETRS89,40.4055412,-3.65269295,PLAZA,PUERTA DEL SOL,1,28013,DESCONOCIDO,20006750,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
7181795,https://smartcity.linkeddata.es/Group10/resource/Aparcamiento/7181795,APARCABICICLETAS,145,FONTARRON,14,MORATALAZ,OPERATIVO,444616.67,4472971.59,ETRS89,40.40551612,-3.65269801,PLAZA,PUERTA DEL SOL,1,28013,DESCONOCIDO,20006750,2020-10-13T00:00:00Z,DESCONOCIDO,MU21,MU-51
