ANO,MES,DIA,PROVINCIA,MUNICIPIO,NUMERO_MUNICIPIO,NOMBRE_MUNICIPIO,same_as_wikidata_madrid,ESTACION,UBICACION,same_as_wikidata_madrid_landmarks,MAGNITUD,PUNTO_MUESTREO,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,54,Ensanche de Vallecas,http://wikidata.org/entity/Q3847485,7,28079054_7_8,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,54,Ensanche de Vallecas,http://wikidata.org/entity/Q3847485,8,28079054_8_8,7,4,4,3,3,3,4,4,4,5,4,4,2,3,3,2,1,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,54,Ensanche de Vallecas,http://wikidata.org/entity/Q3847485,12,28079054_12_8,8,6,5,5,4,5,6,6,6,7,7,7,5,6,5,4,3,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,54,Ensanche de Vallecas,http://wikidata.org/entity/Q3847485,14,28079054_14_6,39,36,32,29,29,27,24,23,25,22,22,22,27,32,33,34,36,36,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,55,Urb. Embajada,,7,28079055_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,55,Urb. Embajada,,8,28079055_8_8,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,55,Urb. Embajada,,10,28079055_10_47,16,20,28,46,62,59,62,79,81,75,72,76,82,70,63,65,60,58,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,55,Urb. Embajada,,12,28079055_12_8,4,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,55,Urb. Embajada,,20,28079055_20_59,1.3,0.9,1,0.7,0.7,0.7,1,0.9,0.9,1.2,1.2,1.2,1.2,0.8,0.9,0.9,1,0.6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,55,Urb. Embajada,,30,28079055_30_59,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,55,Urb. Embajada,,35,28079055_35_59,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,56,Plaza Elíptica,http://wikidata.org/entity/Q16619985,6,28079056_6_48,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,56,Plaza Elíptica,http://wikidata.org/entity/Q16619985,7,28079056_7_8,2,2,2,1,1,1,1,1,2,3,5,5,4,4,5,4,4,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,56,Plaza Elíptica,http://wikidata.org/entity/Q16619985,8,28079056_8_8,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,56,Plaza Elíptica,http://wikidata.org/entity/Q16619985,9,28079056_9_47,5,7,6,10,3,9,13,13,10,3,29,27,19,17,16,14,15,20,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,56,Plaza Elíptica,http://wikidata.org/entity/Q16619985,10,28079056_10_47,9,15,19,24,16,23,36,42,36,25,57,61,51,50,44,38,40,44,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,56,Plaza Elíptica,http://wikidata.org/entity/Q16619985,12,28079056_12_8,6,4,4,3,3,3,3,3,3,6,9,8,7,7,9,7,7,7,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,57,Sanchinarro,http://wikidata.org/entity/Q3076623,7,28079057_7_8,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,57,Sanchinarro,http://wikidata.org/entity/Q3076623,8,28079057_8_8,5,4,2,2,2,3,2,4,4,4,4,3,4,4,4,3,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,57,Sanchinarro,http://wikidata.org/entity/Q3076623,9,28079057_9_47,5,9,6,14,23,21,20,27,27,25,24,27,22,24,23,22,20,18,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,57,Sanchinarro,http://wikidata.org/entity/Q3076623,10,28079057_10_47,12,19,19,37,53,53,53,74,74,66,64,67,65,64,59,57,52,49,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,28079,Madrid,http://wikidata.org/entity/Q2807,57,Sanchinarro,http://wikidata.org/entity/Q3076623,12,28079057_12_8,6,5,4,4,4,4,4,5,7,6,7,6,7,8,8,5,5,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
