ANO,MES,DIA,PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
2024,10,06,28,079,57,8,28079057_8_8,5,4,2,2,2,3,2,4,4,4,4,3,4,4,4,3,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,57,9,28079057_9_47,5,9,6,14,23,21,20,27,27,25,24,27,22,24,23,22,20,18,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,57,10,28079057_10_47,12,19,19,37,53,53,53,74,74,66,64,67,65,64,59,57,52,49,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,57,12,28079057_12_8,6,5,4,4,4,4,4,5,7,6,7,6,7,8,8,5,5,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,58,7,28079058_7_8,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,58,8,28079058_8_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,58,12,28079058_12_8,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,7,8,8,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,58,14,28079058_14_6,47,42,38,33,30,31,29,27,27,28,28,29,31,35,39,42,42,43,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,59,7,28079059_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,59,8,28079059_8_8,8,6,4,4,3,4,5,6,7,7,6,6,4,4,5,4,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,59,12,28079059_12_8,9,7,6,5,5,6,6,7,9,8,8,7,6,6,6,5,5,6,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,59,14,28079059_14_6,43,40,35,31,30,30,27,25,24,25,24,24,29,34,35,37,39,39,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,60,7,28079060_7_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,60,8,28079060_8_8,7,5,4,3,2,2,3,3,4,4,5,4,5,4,4,3,3,4,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,60,10,28079060_10_47,14,18,23,51,75,80,78,111,117,99,93,92,94,82,79,75,68,62,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,60,12,28079060_12_8,9,6,6,4,4,4,4,5,5,6,6,6,7,6,6,5,4,5,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
2024,10,06,28,079,60,14,28079060_14_6,46,43,39,35,33,34,31,28,29,29,29,29,31,36,40,42,44,45,0,0,0,0,0,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,N,N,N,N,N,N
