Año,Mes,same_as_wikidata_month,Lote,Residuo,Distrito,Nombre distrito,same_as_wikidata_distrito,Total,ID
2024,January,https://wikidata.org/entity/Q108,2,Pilas,19,Vicálvaro,https://wikidata.org/entity/Q589403,0.079195015,"2024-Enero-19-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,0.08610975,"2024-Enero-20-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Pilas,21,Barajas,https://wikidata.org/entity/Q807230,0.086694407,"2024-Enero-21-2-Pilas"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,3,Retiro,https://wikidata.org/entity/Q2002296,2.2,"2024-Enero-3-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,5,Chamartín,https://wikidata.org/entity/Q1766348,114.8,"2024-Enero-5-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,14,Moratalaz,https://wikidata.org/entity/Q2076109,55.68,"2024-Enero-14-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,67.86,"2024-Enero-15-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,16,Hortaleza,https://wikidata.org/entity/Q1928529,73.04,"2024-Enero-16-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,19,Vicálvaro,https://wikidata.org/entity/Q589403,28.8,"2024-Enero-19-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,76.48,"2024-Enero-20-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Puntos Limpios,21,Barajas,https://wikidata.org/entity/Q807230,31.6,"2024-Enero-21-2-Puntos Limpios"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,3,Retiro,https://wikidata.org/entity/Q2002296,24.48,"2024-Enero-3-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,4,Salamanca,https://wikidata.org/entity/Q1773521,79.99,"2024-Enero-4-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,5,Chamartín,https://wikidata.org/entity/Q1766348,202.95,"2024-Enero-5-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,14,Moratalaz,https://wikidata.org/entity/Q2076109,113.59,"2024-Enero-14-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,132.07,"2024-Enero-15-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,16,Hortaleza,https://wikidata.org/entity/Q1928529,96.56,"2024-Enero-16-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,19,Vicálvaro,https://wikidata.org/entity/Q589403,135.6,"2024-Enero-19-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,115.41,"2024-Enero-20-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Rcd,21,Barajas,https://wikidata.org/entity/Q807230,120.68,"2024-Enero-21-2-Rcd"
2024,January,https://wikidata.org/entity/Q108,2,Resto,3,Retiro,https://wikidata.org/entity/Q2002296,1253.62,"2024-Enero-3-2-Resto"
2024,January,https://wikidata.org/entity/Q108,2,Resto,4,Salamanca,https://wikidata.org/entity/Q1773521,1669.44,"2024-Enero-4-2-Resto"
2024,January,https://wikidata.org/entity/Q108,2,Resto,5,Chamartín,https://wikidata.org/entity/Q1766348,1763.08,"2024-Enero-5-2-Resto"
2024,January,https://wikidata.org/entity/Q108,2,Resto,14,Moratalaz,https://wikidata.org/entity/Q2076109,1171.9,"2024-Enero-14-2-Resto"
2024,January,https://wikidata.org/entity/Q108,2,Resto,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,2809.24,"2024-Enero-15-2-Resto"
