Distrito,same_as_wikidata_distrito,Apartado,Número de archivo,Denominación,Situación
Carabanchel,https://wikidata.org/entity/Q1001991,HUERTOS URBANOS,12128,HUERTO COMUNITARIO EL PINAR DE CARABANCHEL,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,HUERTOS URBANOS,12129,HUERTO COMUNITARIO PARQUE DE COMILLAS,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,HUERTOS URBANOS,12130,HUERTO COMUNITARIO PARQUE EUGENIA DE MONTIJO,CARABANCHEL
Carabanchel,https://wikidata.org/entity/Q1001991,HUERTOS URBANOS,12131,HUERTO COMUNITARIO OPAÑEL-JARDÍN DE LIBROS NÓMADAS,CARABANCHEL
Usera,https://wikidata.org/entity/Q953368,INSTALACIONES DE RESTAURACIÓN,12056,MADRID RÍO-GRUPO SUR 1. CAFÉ-BAR SAN ZACARÍAS,A LA ALTURA DE C/ SAN ZACARÍAS. USERA
Usera,https://wikidata.org/entity/Q953368,INSTALACIONES DE RESTAURACIÓN,12084,QUIOSCO PERMANENTE DE HOSTELERÍA Y RESTAURACIÓN,USERA
Usera,https://wikidata.org/entity/Q953368,INSTALACIONES DE RESTAURACIÓN,12094,MADRID RÍO CAFÉ PRINCESA-SAN ZACARÍAS,USERA
Usera,https://wikidata.org/entity/Q953368,INSTALACIONES DEPORTIVAS,13013,INSTALACIÓN DEPORTIVA BÁSICA DAVID GONZÁLEZ RUBIO,USERA
Usera,https://wikidata.org/entity/Q953368,INSTALACIONES DEPORTIVAS,13014,INSTALACIÓN DEPORTIVA BÁSICA MARIS STELA,USERA
Usera,https://wikidata.org/entity/Q953368,INSTALACIONES DEPORTIVAS,13019,IDB ZOFÍO,USERA
Usera,https://wikidata.org/entity/Q953368,INSTALACIONES DEPORTIVAS,12086,LÁMINA DE AGUA Y ZONA DEL EMBARCADERO DEL ESTANQUE DE PRADOLONGO Y ZONA DE ALMACÉN Y VESTUARIOS CEAC,USERA
Usera,https://wikidata.org/entity/Q953368,HUERTOS URBANOS,12132,HUERTO COMUNITARIO SAN FERMÍN,USERA
Usera,https://wikidata.org/entity/Q953368,HUERTOS URBANOS,12133,HUERTO COMUNITARIO PACHAMAMA,USERA
Usera,https://wikidata.org/entity/Q953368,HUERTOS URBANOS,12134,HUERTO COMUNITARIO HALCÓN PRADOLONGO,USERA
Puente de Vallecas,https://wikidata.org/entity/Q2003054,INSTALACIONES DE RESTAURACIÓN,12065,"QUIOSCO DE BEBIDAS PERMANENTE ""EL MIRADOR""",PUENTE DE VALLECAS
Puente de Vallecas,https://wikidata.org/entity/Q2003054,INSTALACIONES DE RESTAURACIÓN,12066,"QUIOSCO DE BEBIDAS PERMANENTE ""LOS ARBOLITOS""",PUENTE DE VALLECAS
Puente de Vallecas,https://wikidata.org/entity/Q2003054,INSTALACIONES DEPORTIVAS,13012,INSTALACIÓN DEPORTIVA BÁSICA CERRO CABEZUELO,PUENTE DE VALLECAS
Puente de Vallecas,https://wikidata.org/entity/Q2003054,INSTALACIONES DEPORTIVAS,12085,AUTORIZACIÓN DE USO INSTALACIÓN DEPORTIVA BÁSICA PARQUE LINEAL DEL MANZANARES,PUENTE DE VALLECAS
Puente de Vallecas,https://wikidata.org/entity/Q2003054,INSTALACIONES DEPORTIVAS,12168,IDB PALOMERAS BAJAS,PUENTE DE VALLECAS
Puente de Vallecas,https://wikidata.org/entity/Q2003054,OTRAS CONCESIONES Y AUTORIZACIONES,15036,CENTRO DE REFLEXIÓN 153R,GARRIGUES WALKER. PUENTE DE VALLECAS
Puente de Vallecas,https://wikidata.org/entity/Q2003054,HUERTOS URBANOS,12135,HUERTO COMUNITARIO SANTA CATALINA,PUENTE DE VALLECAS
Moratalaz,https://wikidata.org/entity/Q2076109,INSTALACIONES DE RESTAURACIÓN,12068,QUIOSCO DE BEBIDAS EN EL PARQUE FUENTE CARRANTONA,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,OTRAS CONCESIONES Y AUTORIZACIONES,15004,MODULO A DEL PARQUE DARWIN,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,OTRAS CONCESIONES Y AUTORIZACIONES,15008,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,OTRAS CONCESIONES Y AUTORIZACIONES,15009,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,OTRAS CONCESIONES Y AUTORIZACIONES,15010,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,OTRAS CONCESIONES Y AUTORIZACIONES,15016,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,HUERTOS URBANOS,12136,HUERTO COMUNITARIO SIGLO XXI,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,HUERTOS URBANOS,12137,HUERTO COMUNITARIO CUÑA VERDE DE MORATALAZ II,MORATALAZ
Moratalaz,https://wikidata.org/entity/Q2076109,HUERTOS URBANOS,12138,HUERTO COMUNITARIO PAVONES,MORATALAZ
Ciudad Lineal,https://wikidata.org/entity/Q1763694,HUERTOS URBANOS,12139,HUERTO COMUNITARIO MAGERIT,CIUDAD LINEAL
Ciudad Lineal,https://wikidata.org/entity/Q1763694,HUERTOS URBANOS,12140,HUERTO COMUNITARIO LA ELIPA,CIUDAD LINEAL
Hortaleza,https://wikidata.org/entity/Q1928529,INSTALACIONES DE RESTAURACIÓN,12036,QUIOSCO DE BEBIDAS,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,INSTALACIONES DE RESTAURACIÓN,,QUIOSCO DE BEBIDAS SITUADO EN EL PARQUE PINAR DEL REY,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,INSTALACIONES DEPORTIVAS,13008,INSTALACIÓN DEPORTIVA DE RUGBY,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,INSTALACIONES DEPORTIVAS,13009,INSTALACIÓN DEPORTIVA DE PÁDEL,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,HUERTOS URBANOS,12141,HUERTO COMUNITARIO MANOTERAS,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,HUERTOS URBANOS,12142,HUERTO COMUNITARIO LAS CÁRCAVAS,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,HUERTOS URBANOS,12143,HUERTO COMUNITARIO KUPINA MORERA,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,HUERTOS URBANOS,12144,HUERTO COMUNITARIO VILLA ROSA,HORTALEZA
Hortaleza,https://wikidata.org/entity/Q1928529,HUERTOS URBANOS,12145,HUERTO COMUNITARIO HUERTO DEL MAR,HORTALEZA
Villaverde,https://wikidata.org/entity/Q919536,OTRAS CONCESIONES Y AUTORIZACIONES,15045,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,VILLAVERDE
Villaverde,https://wikidata.org/entity/Q919536,OTRAS CONCESIONES Y AUTORIZACIONES,15046,CENTRO DE TRANSFORMACIÓN ELÉCTRICA,VILLAVERDE
Villaverde,https://wikidata.org/entity/Q919536,HUERTOS URBANOS,12146,HUERTO COMUNITARIO LADIS,VILLAVERDE
Villaverde,https://wikidata.org/entity/Q919536,HUERTOS URBANOS,12147,HUERTO COMUNITARIO BUTARQUE,VILLAVERDE
Villaverde,https://wikidata.org/entity/Q919536,HUERTOS URBANOS,12148,HUERTO COMUNITARIO EL CRUCE,VILLAVERDE
Villaverde,https://wikidata.org/entity/Q919536,HUERTOS URBANOS,12149,HUERTO COMUNITARIO LOS PINOS,VILLAVERDE
Villaverde,https://wikidata.org/entity/Q919536,HUERTOS URBANOS,12150,HUERTO COMUNITARIO EL BUEN SAMARITANO,VILLAVERDE
Villa de Vallecas,https://wikidata.org/entity/Q1947988,INSTALACIONES DE RESTAURACIÓN,12062,BAR DE VERANO,VILLA DE VALLECAS
Villa de Vallecas,https://wikidata.org/entity/Q1947988,INSTALACIONES DE RESTAURACIÓN,12067,QUIOSCO DE HOSTELERÍA Y RESTAURACION. PARQUE CONGOSTO,VILLA DE VALLECAS
Villa de Vallecas,https://wikidata.org/entity/Q1947988,INSTALACIONES DEPORTIVAS,15003,IDB CIRCUITO DE AUTOMODELISMO,VILLA DE VALLECAS
