Distrito;Subepígrafe;Apartado;Número de archivo;Denominación;Situación
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.116;HUERTO COMUNITARIO LA ROSA FUERA DEL TIESTO                                                                                                                                                               ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.117;HUERTO COMUNITARIO LA BOMBILLA                                                                                                                                                                            ; MONCLOA-ARAVACA
MONCLOA-ARAVACA                                             ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;HUERTOS URBANOS                                                                                     ;12.121;HUERTO COMUNITARIO DEHESA DE LA VILLA                                                                                                                                                                     ; MONCLOA-ARAVACA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12057;MADRID RÍO-GRUPO NORTE (CAFÉ-BAR PUENTE SEGOVIA Y CAFETERÍA PRESA Nº 6)                                                                                                                                   ;"CAFÉ-BAR PUENTE DE SEGOVIA AL SUR DEL PUENTE DE SEGOVIA;CAFETERÍA PRESA Nº 6 A LA ALTURA DE LA PRESA Nº 6. LATINA"
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.089;MADRID RÍO CAFÉ SEGOVIA                                                                                                                                                                                   ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;INSTALACIONES DE RESTAURACIÓN                                                                       ;12.090;MADRID RÍO CAFÉ ANDORRA                                                                                                                                                                                   ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;12.077;CENTRO DE TRANSFORMACIÓN ELÉCTRICA                                                                                                                                                                        ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;12.095;CENTRO ELÉCTRICO DE TRANSFORMACIÓN                                                                                                                                                                        ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;12.096;CENTRO DE TRANSFORMACIÓN  ELÉCTRICO                                                                                                                                                                       ; LATINA
LATINA                                                      ;CONCESIONES Y AUTORIZACIONES                                                                                                                                                                            ;OTRAS CONCESIONES Y AUTORIZACIONES                                                                  ;12.098;CENTRO DE TRANSFORMACIÓN  ELÉCTRICA                                                                                                                                                                       ; LATINA
