PK,NOMBRE,HORARIO,DESCRIPCION,NOMBRE_CALLE,NUM,BARRIO,DISTRITO
183607,Aparcamiento mixto. Verdaguer y García,,Plazas: 83 públicas y 91 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor en la salida a la Calle Verdaguer y garcía 1 aseo accesible en la planta -1 Plaza para minusválidos residentes: 4    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid,CALLE VERDAGUER Y GARCIA,2,SAN PASCUAL,CIUDAD LINEAL
13452,Aparcamiento público. Almagro,,Plazas: 463  Informacion sobre accesibilidad:   1 escalera adaptada No tiene ascensor de salida a calle 1 aseo accesible Plazas para minusválidos residentes: 17  Abierto 24 horas  Titularidad : Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información),CALLE ALMAGRO,24,ALMAGRO,CHAMBERI
7393089,Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara),,Plazas: 376 Abierto 24 horas Admite la Tarjeta Bono Red  Titularidad: Ayuntamiento de Madrid,CALLE CARTAGENA,178,CIUDAD JARDIN,CHAMARTIN
13473,Aparcamiento público. Descalzas,,Plazas: 400  Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,PLAZA DESCALZAS,3,SOL,CENTRO
13478,Aparcamiento público. Glorieta Puerta de Toledo,,Plazas: 240 Abierto 24 horas  Titularidad: Subdirección General de Patrimonio - Comunidad de Madrid  Teléfonos: Servicio de información de la Comunidad de Madrid:                    012                    91 580 42 60  (desde fuera de la Comunidad de Madrid),GLORIETA PUERTA DE TOLEDO,,EMBAJADORES,CENTRO
13467,Aparcamiento público. Las Cortes,,Plazas: 480 Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,PLAZA CORTES,13,CORTES,CENTRO
13449,Aparcamiento público. Luna - Tudescos,,Plazas: 481 Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA,2,UNIVERSIDAD,CENTRO
13469,Aparcamiento público. Marqués de Urquijo,,Plazas: 482 Abierto 24 horas Admite Tarjeta BonoRed,CALLE MARQUES DE URQUIJO,,ARGUELLES,MONCLOA-ARAVACA
13451,Aparcamiento público. Mostenses,,Plazas: 361  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor 1 aseo accesible en 2&amp;ordf;  planta Plaza para minusválidos residentes: 16   Abierto 24 horas   Admite Tarjeta BonoRed    Titularidad: Ayuntamiento de Madrid,CALLE GARCIA MOLINAS,4,UNIVERSIDAD,CENTRO
88141,Aparcamiento público. Museo de la Ciudad,,Plazas: 147 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid,CALLE PRINCIPE DE VERGARA,134,CIUDAD JARDIN,CHAMARTIN
13450,Aparcamiento público. Olavide,,Plazas: 397   Información sobre accesibilidad:   Disponde de escaleras adaptadas 1 ascensor en la salida a la Plaza de Olavide 1 aseo accesible en la 1&amp;ordf;  planta Plaza para minusválidos residentes: 8  Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,PLAZA OLAVIDE,17,TRAFALGAR,CHAMBERI
13454,Aparcamiento público. Plaza de Colón,,Plazas: 611 Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,CALLE GOYA,2,RECOLETOS,SALAMANCA
13463,Aparcamiento público. Plaza de España,,Plazas: 800 (hasta 535 abonados) Abierto 24 horas    Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información),PLAZA ESPAÑA,1,PALACIO,CENTRO
13472,Aparcamiento público. Plaza del Carmen (cerrado),,Plazas: 450  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor 1 aseo accesible en  1&amp;ordf;  planta Plaza para minusválidos residentes: 7   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,PLAZA CARMEN,10,SOL,CENTRO
13474,Aparcamiento público. Plaza del Rey,,Plazas: 170  Información sobre accesibilidad:   Si tiene escaleras adaptadas 1 ascensor 3 aseos accesibles (uno por planta): 8 Plaza para minusválidos residentes: 16  Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,PLAZA REY,1,JUSTICIA,CENTRO
11750494,Aparcamiento público. San Epifanio,,Plazas: 501  Actualmente Cerrado     Titularidad: Ayuntamiento de Madrid,CALLE SAN EPIFANIO,9,IMPERIAL,ARGANZUELA
13456,Aparcamiento público. Santa Ana,,Plazas: 325  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor 1 aseo accesible en 1&amp;ordf; planta Plaza para minusválidos residentes: 6   Abierto 24 horas   Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid,PLAZA SANTA ANA,,CORTES,CENTRO
10737574,Aparcamiento público. Usera,,Plazas: 36  Titularidad : Ayuntamiento de Madrid,CALLE AMPARO USERA,46,MOSCARDO,USERA
13468,Aparcamiento público. Velázquez - Juan Bravo,,Plazas: 371 Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid,CALLE VELAZQUEZ,88,CASTELLANA,SALAMANCA
13453,Aparcamiento público. Villa de París,,Plazas rotación: 169  Plazas motos: 2   Información sobre accesibilidad:   No tiene escaleras adaptadas No disponde de ascensor 1 aseo accesible Plaza para minusválidos residentes: 13   Abierto 24 horas       Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información),PLAZA VILLA DE PARIS,1,JUSTICIA,CENTRO
