District,ONS code,Region,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08
Vale Royal,13UH,North West,161,,153,300,253,376,446,230.0
Wakefield UA,00DB,Yorkshire/Humber,22,,901,825,262,321,160,42.0
Walsall UA,00CU,W Midlands,976,,356,,,170,76,76.0
Waltham Forest,00BH,London,2716,3466,3351,2358,1333,2043,2265,1621
Wandsworth,00BJ,London,2571,2794,2753,2156,2096,,,
Wansbeck,35UG,North East,73,165,301,154,122,70,41,23.0
Warrington UA,00EU,North West,39,,122,89,,62,38,31.0
Warwick,44UF,W Midlands,137,300,249,208,,22,30,
Watford,26UK,Eastern,822,777,878,643,238,105,115,74.0
Waveney,42UH,Eastern,115,339,,,218,,299,56.0
Waverley,43UL,S East,343,382,,262,,92,67,45.0
Wealden,21UH,S East,483,637,,366,282,211,151,
Wear Valley,20UJ,North East,40,,122,158,,103,90,38.0
Wellingborough,34UH,E Midlands,290,750,876,633,217,271,101,0.0
Welwyn Hatfield,26UL,Eastern,1000,887,,793,277,130,209,120.0
West Berkshire UA (Newbury),00MB,S East,697,772,929,287,,101,75,78.0
West Devon,18UL,S West,65,85,123,171,,116,28,13.0
West Dorset,19UH,S West,232,528,438,468,303,,56,30.0
West Lancashire,30UP,North West,132,94,207,150,149,185,48,33.0
West Lindsey,32UH,E Midlands,,,150,147,,49,50,
West Oxfordshire,38UF,S East,290,346,511,207,185,151,88,31.0
West Somerset,40UF,S West,64,79,188,95,23,30,26,22.0
West Wiltshire,46UF,S West,113,,,149,,43,76,138.0
Westminster,00BK,London,496,333,336,301,210,136,131,72.0
Weymouth and Portland,19UJ,S West,85,48,184,202,122,92,35,33.0
Wigan UA,00BW,North West,,,,,,,88,54.0
Winchester,24UP,S East,263,246,,142,120,145,75,18.0
Windsor and Maidenhead UA,00ME,S East,488,490,458,266,190,76,40,
Wirral,00CB,North West,835,955,,540,961,253,182,80.0
Woking,43UM,S East,352,448,,257,103,56,40,38.0
Wokingham UA,00MF,S East,,405,382,369,,183,109,196.0
Wolverhampton UA,00CW,W Midlands,381,387,463,250,456,352,139,89.0
Worcester,47UE,W Midlands,316,464,414,682,,,,
Worthing,45UH,S East,310,,870,475,287,251,112,38.0
Wychavon,47UF,W Midlands,90,,136,139,,49,17,6.0
Wycombe,11UF,S East,1155,1169,1197,948,,,100,
Wyre,30UQ,North West,70,73,,104,46,11,24,7.0
Wyre Forest,47UG,W Midlands,,73,,341,61,97,53,98.0
