idClienteEprinsa,AñoMes,Identificador,idValue,NumLámparasTotal,NumLámparasMercurio,NumLámparasHalogenuros,NumLámparasFluorescentes,NumLámparasSodio,NumLámparasLED,NumLámparasOtros,Tipo,same_as_wikidata_type_of_electronic,Dirección,Descripción,IdSiguiente,CoordenadaX,UTM coordinates,CoordenadaY
1009,202406,NDA.ENE.007.1814353,1814353,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Trajano, 3",Puntos de luz - BELMEZ,1814353,307027,"30T 307027 4238373","4238373"
1009,202406,NDA.ENE.007.1814277,1814277,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Calatrava, 9",Puntos de luz - BELMEZ,1814277,306927,"30T 306927 4238052","4238052"
1009,202406,NDA.ENE.007.1814415,1814415,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Nava, 39",Puntos de luz - BELMEZ,1814415,306967,"30T 306967 4238323","4238323"
1009,202406,NDA.ENE.007.1814544,1814544,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814544,301120,"30T 301120 4232726","4232726"
1009,202406,NDA.ENE.007.1814132,1814132,955,0,917,0,0,38,0,LED lamp,https://wikidata.org/entity/Q1553201,"Calle Peñarroya-Pueblonuevo, 58",Puntos de luz - BELMEZ,1814132,307317,"30T 307317 4238232","4238232"
1009,202406,NDA.ENE.007.1814444,1814444,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814444,307099,"30T 307099 4238789","4238789"
1009,202406,NDA.ENE.007.1814561,1814561,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814561,307229,"30T 307229 4231849","4231849"
1009,202406,NDA.ENE.007.1813871,1813871,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813871,306332,"30T 306332 4238617","4238617"
1009,202406,NDA.ENE.007.1814216,1814216,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814216,306791,"30T 306791 4237884","4237884"
1009,202406,NDA.ENE.007.1813921,1813921,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813921,306785,"30T 306785 4237819","4237819"
1009,202406,NDA.ENE.007.1814032,1814032,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Santo, 15",Puntos de luz - BELMEZ,1814032,306842,"30T 306842 4238177","4238177"
1009,202406,NDA.ENE.007.1814599,1814599,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Córdoba, 95",Puntos de luz - BELMEZ,1814599,307274,"30T 307274 4238001","4238001"
1009,202406,NDA.ENE.007.1814414,1814414,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Nava, 22",Puntos de luz - BELMEZ,1814414,306950,"30T 306950 4238330","4238330"
1009,202406,NDA.ENE.007.1814654,1814654,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Hoyo}, 24",Puntos de luz - BELMEZ,1814654,299264,"30T 299264 4235627","4235627"
1009,202406,NDA.ENE.007.1813925,1813925,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813925,306767,"30T 306767 4237836","4237836"
1009,202406,NDA.ENE.007.1814237,1814237,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Avenida de la Universidad, 33",Puntos de luz - BELMEZ,1814237,306921,"30T 306921 4237704","4237704"
1009,202406,NDA.ENE.007.1814384,1814384,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Torres Quevedo, 37",Puntos de luz - BELMEZ,1814384,307154,"30T 307154 4238725","4238725"
1009,202406,NDA.ENE.007.1814222,1814222,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Parque, 13",Puntos de luz - BELMEZ,1814222,306825,"30T 306825 4237925","4237925"
1009,202406,NDA.ENE.007.1814573,1814573,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Francisco Pérez, 13",Puntos de luz - BELMEZ,1814573,307300,"30T 307300 4231722","4231722"
1009,202406,NDA.ENE.007.1814311,1814311,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Echegaray, 21",Puntos de luz - BELMEZ,1814311,307062,"30T 307062 4237989","4237989"
1009,202406,NDA.ENE.007.1814449,1814449,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814449,307042,"30T 307042 4238789","4238789"
1009,202406,NDA.ENE.007.1814711,1814711,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle San José, 15",Puntos de luz - BELMEZ,1814711,306606,"30T 306606 4238190","4238190"
1009,202406,NDA.ENE.007.1814560,1814560,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Enrique Suárez, 3",Puntos de luz - BELMEZ,1814560,307331,"30T 307331 4231737","4231737"
1009,202406,NDA.ENE.007.1814419,1814419,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Plaza Andalucía, 10",Puntos de luz - BELMEZ,1814419,306936,"30T 306936 4238444","4238444"
1009,202406,NDA.ENE.007.1814459,1814459,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Pilar, 10",Puntos de luz - BELMEZ,1814459,306766,"30T 306766 4238465","4238465"
1009,202406,NDA.ENE.007.1814832,1814832,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Lagares, 2",Puntos de luz - BELMEZ,1814832,307308,"30T 307308 4231700","4231700"
1009,202406,NDA.ENE.007.1814700,1814700,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Nueva {Doña Rama}, 30",Puntos de luz - BELMEZ,1814700,301207,"30T 301207 4232802","4232802"
1009,202406,NDA.ENE.007.1814500,1814500,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle San Gregorio, 41",Puntos de luz - BELMEZ,1814500,306536,"30T 306536 4238145","4238145"
1009,202406,NDA.ENE.007.1814218,1814218,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Hilario J Solano, 6",Puntos de luz - BELMEZ,1814218,306835,"30T 306835 4237988","4237988"
1009,202406,NDA.ENE.007.1814407,1814407,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real, 17",Puntos de luz - BELMEZ,1814407,306980,"30T 306980 4238323","4238323"
1009,202406,NDA.ENE.007.1814637,1814637,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Hoyo}, 18",Puntos de luz - BELMEZ,1814637,299299,"30T 299299 4235641","4235641"
1009,202406,NDA.ENE.007.1814298,1814298,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Lermanda, 25",Puntos de luz - BELMEZ,1814298,306974,"30T 306974 4237952","4237952"
1009,202406,NDA.ENE.007.1813883,1813883,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813883,306728,"30T 306728 4237765","4237765"
1009,202406,NDA.ENE.007.1814016,1814016,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Pilar, 5",Puntos de luz - BELMEZ,1814016,306799,"30T 306799 4238443","4238443"
1009,202406,NDA.ENE.007.1814299,1814299,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Lermanda, 13",Puntos de luz - BELMEZ,1814299,306980,"30T 306980 4237972","4237972"
1009,202406,NDA.ENE.007.1814653,1814653,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Hoyo}, 18",Puntos de luz - BELMEZ,1814653,299291,"30T 299291 4235638","4235638"
1009,202406,NDA.ENE.007.1814774,1814774,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Castillo, 32",Puntos de luz - BELMEZ,1814774,306548,"30T 306548 4238434","4238434"
1009,202406,NDA.ENE.007.1814548,1814548,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Real {Doña Rama}, 1",Puntos de luz - BELMEZ,1814548,301090,"30T 301090 4232783","4232783"
1009,202406,NDA.ENE.007.1814125,1814125,955,0,917,0,0,38,0,LED lamp,https://wikidata.org/entity/Q1553201,"Calle Bélmez, 29",Puntos de luz - BELMEZ,1814125,307301,"30T 307301 4238115","4238115"
1009,202406,NDA.ENE.007.1814538,1814538,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814538,301141,"30T 301141 4232655","4232655"
1009,202406,NDA.ENE.007.1814657,1814657,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,"Calle Perchel, 6",Puntos de luz - BELMEZ,1814657,299448,"30T 299448 4235741","4235741"
1009,202406,NDA.ENE.007.1813935,1813935,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1813935,306544,"30T 306544 4238634","4238634"
1009,202406,NDA.ENE.007.1814073,1814073,955,0,917,0,0,38,0,halide,https://wikidata.org/entity/Q193086,,Puntos de luz - BELMEZ,1814073,307432,"30T 307432 4238063","4238063"
